"grid_id","lon","lat","geom"
1,-118.31518590559033,33.722693642030286,"POLYGON((-118.3205629134282 33.71817195965206,-118.3097750682837 33.71820022592899,-118.3098083182022 33.727215164684345,-118.320597321252 33.727186895335784,-118.3205629134282 33.71817195965206))"
2,-118.30439747791428,33.72272142605841,"POLYGON((-118.3097750682837 33.71820022592899,-118.29898721600296 33.71822752468899,-118.29901930801385 33.72724246641083,-118.3098083182022 33.727215164684345,-118.3097750682837 33.71820022592899))"
3,-118.29360904322508,33.72274824251655,"POLYGON((-118.29898721600296 33.71822752468899,-118.28819935683444 33.7182538559311,-118.28823029093556 33.72726880051429,-118.29901930801385 33.72724246641083,-118.29898721600296 33.71822752468899))"
4,-118.336798887466,33.73165010808576,"POLYGON((-118.34217530494158 33.72712745377649,-118.33138631691465 33.72715765836617,-118.33142189027707 33.73617260275903,-118.34221203645303 33.73614239488747,-118.34217530494158 33.72712745377649))"
5,-118.32600931653586,33.7316798304802,"POLYGON((-118.33138631691465 33.72715765836617,-118.320597321252 33.727186895335784,-118.3206317364629 33.73620184290537,-118.33142189027707 33.73617260275903,-118.33138631691465 33.72715765836617))"
6,-118.31521973809306,33.7317085852015,"POLYGON((-118.320597321252 33.727186895335784,-118.3098083182022 33.727215164684345,-118.30984157525924 33.73623011532549,-118.3206317364629 33.73620184290537,-118.320597321252 33.727186895335784))"
7,-118.30443015238625,33.73173637224866,"POLYGON((-118.3098083182022 33.727215164684345,-118.29901930801385 33.72724246641083,-118.29905140691473 33.73625742001844,-118.30984157525924 33.73623011532549,-118.3098083182022 33.727215164684345))"
8,-118.29364055966407,33.7317631916207,"POLYGON((-118.29901930801385 33.72724246641083,-118.28823029093556 33.72726880051429,-118.28826123167804 33.7362837569832,-118.29905140691473 33.73625742001844,-118.29901930801385 33.72724246641083))"
9,-118.34762576522539,33.74063436327785,"POLYGON((-118.35300217474214 33.73611121929181,-118.34221203645303 33.73614239488747,-118.34224877585133 33.745157347663195,-118.3530400725356 33.745126168680564,-118.35300217474214 33.73611121929181))"
10,-118.33683504378439,33.74066505667879,"POLYGON((-118.34221203645303 33.73614239488747,-118.33142189027707 33.73617260275903,-118.33145747127767 33.74518755881655,-118.34224877585133 33.745157347663195,-118.34221203645303 33.73614239488747))"
11,-118.32604431457963,33.740694782302505,"POLYGON((-118.33142189027707 33.73617260275903,-118.3206317364629 33.73620184290537,-118.32066615906336 33.74521680213959,-118.33145747127767 33.74518755881655,-118.33142189027707 33.73617260275903))"
12,-118.31525357785978,33.74072354014793,"POLYGON((-118.3206317364629 33.73620184290537,-118.30984157525924 33.73623011532549,-118.30987483945714 33.74524507763126,-118.32066615906336 33.74521680213959,-118.3206317364629 33.73620184290537))"
13,-118.30446283387364,33.74075133021409,"POLYGON((-118.30984157525924 33.73623011532549,-118.29905140691473 33.73625742001844,-118.29908351270777 33.7452723852906,-118.30987483945714 33.74524507763126,-118.30984157525924 33.73623011532549))"
14,-118.2936720828698,33.74077815249999,"POLYGON((-118.29905140691473 33.73625742001844,-118.28826123167804 33.7362837569832,-118.28829217906402 33.74529872511664,-118.29908351270777 33.7452723852906,-118.29905140691473 33.73625742001844))"
15,-118.40162236243576,33.74948131821721,"POLYGON((-118.40699642890993 33.7449557563677,-118.39620517540382 33.74499177447965,-118.39624771588407 33.7540067207129,-118.40704012802018 33.75397069868838,-118.40699642890993 33.7449557563677))"
16,-118.39083052503712,33.749516854347576,"POLYGON((-118.39620517540382 33.74499177447965,-118.38541391276459 33.745026824768104,-118.38545529461189 33.75404177480881,-118.39624771588407 33.7540067207129,-118.39620517540382 33.74499177447965))"
17,-118.38003867862825,33.749551422601314,"POLYGON((-118.38541391276459 33.745026824768104,-118.37462264124099 33.74506090723188,-118.37466286445247 33.754075860974915,-118.38545529461189 33.75404177480881,-118.38541391276459 33.745026824768104))"
18,-118.36924682345798,33.749585022977165,"POLYGON((-118.37462264124099 33.74506090723188,-118.36383136108174 33.74509402186976,-118.36387042565465 33.75410897920996,-118.37466286445247 33.754075860974915,-118.37462264124099 33.74506090723188))"
19,-118.35845495977509,33.74961765547397,"POLYGON((-118.36383136108174 33.74509402186976,-118.3530400725356 33.745126168680564,-118.35307797846721 33.75414112951281,-118.36387042565465 33.75410897920996,-118.36383136108174 33.74509402186976))"
20,-118.34766308782832,33.74964932009058,"POLYGON((-118.3530400725356 33.745126168680564,-118.34224877585133 33.745157347663195,-118.34228552313903 33.75417231188237,-118.35307797846721 33.75414112951281,-118.3530400725356 33.745126168680564))"
21,-118.33687120786657,33.7496800168259,"POLYGON((-118.34224877585133 33.745157347663195,-118.33145747127767 33.74518755881655,-118.33149305991893 33.75420252631753,-118.34228552313903 33.75417231188237,-118.34224877585133 33.745157347663195))"
22,-118.32607932013849,33.74970974567885,"POLYGON((-118.33145747127767 33.74518755881655,-118.32066615906336 33.74521680213959,-118.32070058905569 33.75423177281717,-118.33149305991893 33.75420252631753,-118.33145747127767 33.74518755881655))"
23,-118.31528742489289,33.74973850664837,"POLYGON((-118.32066615906336 33.74521680213959,-118.30987483945714 33.74524507763126,-118.30990811079818 33.75426005138039,-118.32070058905569 33.75423177281717,-118.32066615906336 33.74521680213959))"
24,-118.30449552237863,33.74976629973349,"POLYGON((-118.30987483945714 33.74524507763126,-118.29908351270777 33.7452723852906,-118.29911562539522 33.75428736200609,-118.30990811079818 33.75426005138039,-118.30987483945714 33.74524507763126))"
